edades,meses_antiguedad,sexo,Región,Estado,beneficio,cargo,planes,sms cantidad,llamada minutos,datos_gb,Facebook,Instagram,TikTok,WhatsApp,YouTube,X,Netflix,Spotify,Uber,prob_abandono_personal
32,12,Hombre,R4,Coahuila,Prepago,112,Plan amigo,6,44,1,0.1,0.1,0.1,0.1,0.15522178689658644,0.1,0.1,0.1,0.1,0.53
27,7,Mujer,R2,Sinaloa,Postpago,445,Medio,3,23,13,1.8184135950144211,0.5731033105230423,0.8444304311779396,0.7625300432945404,0.2676985793831802,0.13088635752455158,0.1,0.8382270219412922,0.5476303513221386,0.25
33,12,Mujer,R7,Tlaxcala,Postpago,870,Premium,12,42,49,3.529054229871443,10.564171571429549,6.570159854932232,3.8518481526717863,4.106612577790884,1.2171960245626308,1.663376471880802,1.16066451656279,0.6831163471594457,0.07
40,0,Hombre,R2,Sonora,Prepago,280,Plan amigo,14,69,1,0.1,0.23807401732311295,0.1,0.1,0.10050289036779732,0.1,0.1,0.1,0.1,0.65
26,7,Hombre,R5,Nayarit,Prepago,116,Plan amigo,10,27,1,0.1,0.17811919033134394,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.53
26,7,Hombre,R7,Puebla,Prepago,81,Plan amigo,7,57,2,0.14250630794502472,0.4717305440838521,0.15162136101232132,0.1,0.1,0.21053623643157052,0.1,0.1,0.1,0.63
41,50,Hombre,R1,Baja California Sur,Prepago,710,Plan amigo,12,54,10,2.2679665947242262,0.5654503237245779,0.1,0.6172641820375712,2.0839636104542367,0.5416674189464907,1.1509733407252922,0.213022165225263,0.36482439096693503,0.3
34,12,Mujer,R9,Hidalgo,Postpago,30,Básico,4,46,1,0.1,0.18956636562363816,0.16354804148810423,0.1,0.1,0.13406533300816187,0.1,0.1,0.1,0.43
24,7,Mujer,R2,Sonora,Prepago,624,Plan amigo,6,58,7,0.7011467538658918,0.44235865390351264,1.780400135827514,0.198317477001913,0.1,0.37461748463792593,0.31437955171180637,0.4877515271380835,0.27619060450688143,0.42
32,12,Mujer,R7,Tlaxcala,Postpago,131,Básico,9,57,2,0.3399570548971844,0.1,0.1,0.11274069333367547,0.12153995430279553,0.2417811767341405,0.1,0.1,0.1,0.33
24,7,Hombre,R6,Guanajuato,Prepago,476,Plan amigo,2,68,4,0.2995575398773729,0.5131114677731164,0.3478780102402613,0.20745329007943922,0.1,0.23213125708346338,0.1,0.1,0.10635946645513018,0.58
24,7,Mujer,R1,Baja california Norte,Postpago,224,Básico,6,21,3,0.1639719273543735,0.1,0.31867271443602285,0.1,0.1,0.1,0.1,0.15399597506765497,0.1,0.38
30,12,Mujer,R7,Tlaxcala,Postpago,340,Medio,10,9,8,1.176246649532992,0.9379988520728493,0.9523911426919135,0.6320961112077191,0.6708303735810565,0.8311596210120464,0.2720422334227924,0.17531665211294403,0.1490288479156255,0.25
16,0,Hombre,R1,Baja California Sur,Prepago,468,Plan amigo,10,65,4,0.1323923257546351,0.3673730308596499,0.33107294995652997,0.13501687811463847,0.1,0.29157372272682125,0.1947902597863973,0.23064159085537198,0.1,0.65
16,0,Hombre,R4,Nuevo León,Prepago,97,Plan amigo,7,44,1,0.14248939855218878,0.14902337769409935,0.13183208449792252,0.1,0.1,0.1,0.1,0.1,0.1,0.75
24,7,Hombre,R1,Baja California Sur,Prepago,382,Plan amigo,4,44,5,0.38671354112652484,0.8454670726315763,0.9231072262479701,0.35820386078560573,0.1,0.36226615561636427,0.1,0.25591082097102114,0.1799607957910075,0.5
20,7,Hombre,R2,Sonora,Prepago,109,Plan amigo,3,61,1,0.1,0.16737717585266865,0.13611324316642018,0.1,0.1,0.1,0.1,0.1,0.1,0.58
31,12,Hombre,R9,Querétaro Sur,Prepago,881,Plan amigo,7,22,11,1.5627503514914307,1.6717186044035228,0.20871034122379567,0.9880155582523716,1.400159101618235,0.15615455316348556,0.6580812790990758,0.1338911610450285,0.1603201011103207,0.37
21,7,Hombre,R1,Baja california Norte,Prepago,673,Plan amigo,7,19,8,0.578525274570441,0.8803510979802973,2.15295873307865,0.31911300206807197,0.1,0.9121882995845975,0.4443997835953532,0.4063510139190674,0.19329268208251774,0.42
17,0,Hombre,R8,Tabasco,Prepago,140,Plan amigo,2,29,2,0.1,0.3862551571227093,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.65
40,0,Mujer,R1,Baja California Sur,Prepago,671,Plan amigo,5,49,7,0.2727661283700929,0.23259588153700475,0.3902283052547583,0.49355167755449697,1.0352985132881227,0.492943652302766,0.27188291499061884,0.1,0.1,0.49
26,7,Hombre,R9,Hidalgo,Prepago,318,Plan amigo,4,4,5,0.22108551163647536,0.6891662311987251,1.13537160822899,0.26516120004450894,0.1,0.10626148088175738,0.238616505768413,0.14623211333728317,0.18087609924414486,0.45
29,7,Hombre,R4,Nuevo León,Prepago,779,Plan amigo,1,65,10,0.7854435635328753,1.8146029999784883,2.740410772067201,0.7780871405861808,0.20379587808020272,0.6528893685375153,0.18877994068158885,0.6768574867876838,0.23714778690543012,0.37
